"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: shuffle","Param: size","Param: skip","Param: span"
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,3.079885,0.372619,"ms/op",false,100000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,3.286688,2.012013,"ms/op",false,100000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,3.284636,1.753656,"ms/op",false,100000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,3.434826,1.068715,"ms/op",false,100000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,0.307093,0.021028,"ms/op",false,10000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,0.386421,0.014719,"ms/op",false,10000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,0.299683,0.015414,"ms/op",false,10000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,0.315190,0.041799,"ms/op",false,10000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,32.413967,1.786347,"ms/op",true,100000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,31.296606,1.894324,"ms/op",true,100000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,31.925157,0.969686,"ms/op",true,100000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,31.840683,2.390767,"ms/op",true,100000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,2.179328,0.090300,"ms/op",true,10000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,2.239342,0.227906,"ms/op",true,10000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,2.254965,0.056858,"ms/op",true,10000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertAlternateRange","avgt",2,5,2.266621,0.093966,"ms/op",true,10000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,2.114192,0.081772,"ms/op",false,100000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,16.278190,0.305407,"ms/op",false,100000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,1.972372,0.173126,"ms/op",false,100000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,2.045288,0.046571,"ms/op",false,100000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,0.202710,0.010765,"ms/op",false,10000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,1.268248,0.044390,"ms/op",false,10000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,0.193543,0.021743,"ms/op",false,10000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,0.191561,0.014596,"ms/op",false,10000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,1520.052366,12.353017,"ms/op",true,100000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,7071.575505,455.873023,"ms/op",true,100000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,32.767421,0.691194,"ms/op",true,100000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,487.714360,27.690706,"ms/op",true,100000,1,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,18.637657,0.320280,"ms/op",true,10000,10,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,62.656783,1.932131,"ms/op",true,10000,10,1
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,0.886992,0.011494,"ms/op",true,10000,1,10
"geotrellis.spark.io.index.MergeQueueBench.insertRange","avgt",2,5,6.657517,0.120802,"ms/op",true,10000,1,1
