grade,count
1,148
2,117
3,97
4,140
5,114
6,176
7,177
8,146
9,288
10,527
11,99
12,87
13,76
14,76
15,105
16,109
17,134
18,168
19,252
20,449
21,64
22,94
23,76
24,82
25,92
26,123
27,129
28,139
29,178
30,452
31,38
32,31
33,47
34,29
35,38
36,35
37,37
38,51
39,39
40,72
41,47
42,41
43,46
44,61
45,56
46,82
47,66
48,93
49,119
50,233
51,72
52,75
53,83
54,113
55,106
56,116
57,102
58,187
59,157
60,283
61,72
62,89
63,91
64,92
65,91
66,132
67,113
68,157
69,161
70,205
71,186
72,185
73,124
74,175
75,208
76,373
77,291
78,576
79,690
80,3970
